,SOC Code,pred,pred_prob,SOC Official STEM,pred_low_threshold
0,11-1011,0.0,0.23695684601102057,0.0,False
1,11-1021,0.0,0.11013575704886766,0.0,False
2,11-2011,0.0,0.12938589308642856,0.0,False
3,11-2021,0.0,0.17987732626177197,0.0,False
4,11-2022,0.0,0.11670087670969274,0.0,False
5,11-2031,0.0,0.11164305524795042,0.0,False
6,11-3011,0.0,0.10749207293522321,0.0,False
7,11-3021,1.0,0.5571427046966709,1.0,True
8,11-3031,0.0,0.16108737046031277,0.0,False
9,11-3051,1.0,0.42083416724315564,0.0,False
10,11-3061,0.0,0.15477534454690506,0.0,False
11,11-3071,0.0,0.10958380637241513,0.0,False
12,11-3111,0.0,0.15614557661049694,0.0,False
13,11-3121,0.0,0.12084891058863316,0.0,False
14,11-3131,0.0,0.21319680425952803,0.0,False
15,11-9013,0.0,0.2498473042333805,0.0,False
16,11-9021,0.0,0.27045578228338635,0.0,False
17,11-9031,0.0,0.11229622200211895,0.0,False
18,11-9032,0.0,0.18800769039272514,0.0,False
19,11-9033,0.0,0.15161042923427193,0.0,False
20,11-9039,0.0,0.20221705868994005,0.0,False
21,11-9041,1.0,0.6125819342120753,1.0,True
22,11-9041,1.0,0.6125819342120753,1.0,True
23,11-9051,0.0,0.08079732251645703,0.0,False
24,11-9061,0.0,0.09784571007610325,0.0,False
25,11-9071,0.0,0.1208134275920577,0.0,False
26,11-9081,0.0,0.0891450296385331,0.0,False
27,11-9111,0.0,0.2954258024321577,1.0,False
28,11-9121,0.0,0.5401078023378744,1.0,True
29,11-9121,0.0,0.5401078023378744,1.0,True
30,11-9121,0.0,0.5401078023378744,1.0,True
31,11-9131,0.0,0.08155695643983848,0.0,False
32,11-9141,0.0,0.0772180692637002,0.0,False
33,11-9151,0.0,0.259172250799497,0.0,False
34,11-9161,0.0,0.2298621008959894,0.0,False
35,11-9199,0.0,0.23066792701571895,0.0,False
36,13-1011,0.0,0.051690343902891185,0.0,False
37,13-1021,0.0,0.132510413025641,0.0,False
38,13-1022,0.0,0.15603261385785236,0.0,False
39,13-1023,0.0,0.13752284489518568,0.0,False
40,13-1031,0.0,0.17904422619473886,0.0,False
41,13-1032,0.0,0.13810785509254594,0.0,False
42,13-1041,0.0,0.317522662315591,0.0,False
43,13-1051,0.0,0.3279632518690801,0.0,False
44,13-1071,0.0,0.09897227502751611,0.0,False
45,13-1074,0.0,0.033463631876756356,0.0,False
46,13-1075,0.0,0.10266850725410637,0.0,False
47,13-1081,0.0,0.38232989507543846,0.0,False
48,13-1111,0.0,0.29534705576669146,0.0,False
49,13-1121,0.0,0.09167922618966366,0.0,False
50,13-1131,0.0,0.05984499309529624,0.0,False
51,13-1141,1.0,0.3216857407553269,0.0,False
52,13-1151,0.0,0.29919663672535013,0.0,False
53,13-1161,0.0,0.33243360687334655,0.0,False
54,13-1199,0.0,0.2628395261122014,0.0,False
55,13-2011,0.0,0.21156990780039425,0.0,False
56,13-2021,0.0,0.15370760976050318,0.0,False
57,13-2031,1.0,0.273873733909848,0.0,False
58,13-2041,1.0,0.24953347456660782,0.0,False
59,13-2051,1.0,0.39356205473184386,0.0,False
60,13-2052,0.0,0.19451244273625817,0.0,False
61,13-2053,0.0,0.1679411259648504,0.0,False
62,13-2061,0.0,0.26976966189179646,0.0,False
63,13-2071,0.0,0.19535857872060375,0.0,False
64,13-2072,0.0,0.10600133224263666,0.0,False
65,13-2081,0.0,0.11115475490730721,0.0,False
66,13-2082,0.0,0.1891373987719894,0.0,False
67,13-2099,0.0,0.32677571334352756,0.0,False
68,15-1111,1.0,0.9145902126726612,1.0,True
69,15-1121,1.0,0.7345407267300957,1.0,True
70,15-1121,1.0,0.7345407267300957,1.0,True
71,15-1122,0.0,0.5634690572732375,1.0,True
72,15-1131,1.0,0.8597386495613643,1.0,True
73,15-1132,1.0,0.8811116645949196,1.0,True
74,15-1133,1.0,0.6808835330512458,1.0,True
75,15-1134,1.0,0.7202111082516542,1.0,True
76,15-1141,1.0,0.7552968668533978,1.0,True
77,15-1142,1.0,0.809796313175398,1.0,True
78,15-1143,0.0,0.6172383762697753,1.0,True
79,15-1143,0.0,0.6172383762697753,1.0,True
80,15-1151,1.0,0.567931033100546,1.0,True
81,15-1152,0.0,0.5252588900260576,1.0,True
82,15-1199,0.0,0.6192081446270488,1.0,True
83,15-1199,0.0,0.6192081446270488,1.0,True
84,15-1199,0.0,0.6192081446270488,1.0,True
85,15-1199,0.0,0.6192081446270488,1.0,True
86,15-1199,0.0,0.6192081446270488,1.0,True
87,15-1199,0.0,0.6192081446270488,1.0,True
88,15-1199,0.0,0.6192081446270488,1.0,True
89,15-1199,0.0,0.6192081446270488,1.0,True
90,15-1199,0.0,0.6192081446270488,1.0,True
91,15-1199,0.0,0.6192081446270488,1.0,True
